_id,ID,APT,COMUNE_CODICE,COMUNE,DENOMINAZIONE,TIPOLOGIA,CATEGORIA,INDIRIZZO,FRAZIONE,CAP,PROV,TELEFONO,TELEFONO2,FAX,WEB,EMAIL,COORDX,COORDY,TOTALE_UNITA,TOTALE_LETTI,TOTALE_BAGNI
17,6646,2,054001,ASSISI,AGRITURISMO LA MORA,Agriturismo,3 spighe,Via Fonte Citerna 7,SANTA MARIA DEGLI ANGELI,06081,PG,0758041164,3921248814,0758041164,www.agriturismolamora.com,agriturismolamora@gmail.com,2319089.32046782,4776785.14342046,11,29,10
18,18538,2,054001,ASSISI,AGRITURISMO LA PALAZZETTA DI ASSISI,Agriturismo,2 spighe,Via della Palazzetta ,STERPETO,06081,PG,0758039223,0758038350,,www.agriturismolapalazzetta.com,info@agriturismolapalazzetta.com,,,6,19,7
19,4976,2,054001,ASSISI,AGRITURISMO LA PANORAMICA,Agriturismo,2 spighe,Via Campiglione 6,,06081,PG,075813482,3397502248,075813482,www.agriturismolapanoramica.it,info@agriturismolapanoramica.it,2321257.34415,4772124.77393,5,10,5
20,4905,2,054001,ASSISI,AGRITURISMO LA PIAGGIA,Agriturismo,2 spighe,Viale Giovanna di Savoia 3,,06081,PG,3388894770,3388894770,075816231,www.lapiaggia.it,info@lapiaggia.it,2324937.76390004,4771743.06691309,6,12,6
21,6643,2,054001,ASSISI,AGRITURISMO LA ROCCA,Agriturismo,4 spighe,Rocca  Sant' Angelo ,ROCCA SANT'ANGELO,06081,PG,0758039289,3387050897,,www.agristar.it,info@agristar.it,2320907.09957,4778015.62082,5,12,5
22,14547,2,054001,ASSISI,AGRITURISMO LE CASE,Agriturismo,3 spighe,Via Sanat Maria di Lignano - Voc. Le Case 42,SANTA MARIA DI LIGNANO,06081,PG,075802431,3356760217,,www.lecase.biz,assisiresort1@gmail.com,2333097.47994,4777327.42742,20,30,19
23,18218,2,054001,ASSISI,AGRITURISMO LE SORGENTI,Agriturismo,3 spighe,Loc. Paradiso 40,,06081,PG,0759976028,3347447841,,,mar.stoppini@gmail.com,,,3,10,3
24,5031,2,054001,ASSISI,AGRITURISMO LONGETTI,Agriturismo,4 spighe,Via  Biagiano 35,,06081,PG,075816175,,0759869562,www.agriturismolongetti.com,webmaster@agriturismolongetti.com,2324371.21619596,4774723.9492346,9,15,9
25,16622,2,054001,ASSISI,AGRITURISMO PONTE ROSSO,Agriturismo,1 spiga,Via Tescio 6,SANTA MARIA DEGLI ANGELI,06081,PG,3392432883,0758001180,,,info@assisium.com,,,1,2,1
26,4897,2,054001,ASSISI,AGRITURISMO SIENA,Agriturismo,2 spighe,Via  Della  Pescara 11,,06081,PG,075813382,,,,,2326029.62493,4771374.3524,4,9,4
27,18123,5,054033,MONTONE,CARDANETO,Bed & Breakfast,Bed & Breakfast,Case Sparse 5,,06014,PG,075-9306453,3661342247,,,maurizio@cardaneto.it,,,3,7,3
28,9925,2,054001,ASSISI,AGRITURISMO SOLELUNA,Agriturismo,1 spiga,Costa  di  Trex 54,COSTA DI TREX,06081,PG,3471558278,3348509067,0758064506,www.agriturismosoleluna.it,info@agriturismosoleluna.it,2330640.26841,4773009.23541,6,23,7
29,18324,2,054001,ASSISI,AL CASALE LA GERLA di Amicarelli Sara,Bed & Breakfast,Bed & Breakfast,Via Madre Terra 21,,06081,PG,3286286343,3333272965,,,alcasalelagerla@libero.it,,,3,7,3
30,13537,2,054001,ASSISI,AL CASALINO  di Caldari Gabriele,Bed & Breakfast,Bed & Breakfast,Via San Rufino 2,,06081,PG,3476123213,,,www.alcasalino.it,alcasalino@alice.it,2325880.82129,4771475.66217,1,2,1
31,9653,2,054001,ASSISI,AL PIAN D'ASSISI di Alessandretti  Simone,Bed & Breakfast,Bed & Breakfast,Via  San Martino 14,,06081,PG,075816362,3391211850,075816362,www.alpiandassisi.it,info@alpiandassisi.it,2326029.62493,4771374.3524,3,7,3
32,18019,2,054001,ASSISI,AL RIVOBELLO di Scatolini Gianna,Affittacamere,Affittacamere,Via Monte Subasio 9,RIVOTORTO,06081,PG,3665449774,0758064505,,,gianna.scatolini@gmail.com,,,4,8,3
33,16441,2,054001,ASSISI,ALL'ANTICA MATTONATA,Agriturismo con area di sosta,1 spiga,Via Francesca 1,,06081,PG,3384940829,3482264125,075813403,www.allanticamattonata.com,allanticamattonata@gmail.com,,,12,33,10
34,17633,2,054001,ASSISI,ALL'OMBRA DI SAN DAMIANO di Vincenti Giulio,Bed & Breakfast,Bed & Breakfast,Via Frate Foco 3,,06081,PG,3931957698,075813240,075813240,www.bbsandamiano.it,bbsandamiano@gmail.com,,,3,8,3
35,8884,2,054001,ASSISI,ALLA MADONNA DEL PIATTO,Agriturismo,2 spighe,Via  Petrata 37,PIEVE SAN NICOLO',06081,PG,0758199050,3287025297,,www.madonnadelpiatto.com,madonnadp@gmail.com,2324494.45673386,4773433.97946378,7,16,8
36,18692,2,054001,ASSISI,ALLE PORTE DI ASSISI di Serafini Angela,Bed & Breakfast,Bed & Breakfast,Via Lorenzo Perosi 20,,06081,PG,3475428230,3284198217,,www.alleportediassisi.com,info@alleportediassisi.com,,,2,4,2
37,17871,2,054001,ASSISI,ALLOGGIO ASSISI di Sementilli Maria Luisa,Bed & Breakfast,Bed & Breakfast,Viale Patrono d'Italia 45,SANTA MARIA DEGLI ANGELI,06081,PG,0758043712,,,,bballoggioassisi@gmail.com,,,3,6,2
38,4883,2,054001,ASSISI,ALUNNI MARIA,Affittacamere,Affittacamere,Via  dell' Acquaraio 3,,06081,PG,075813182,,075813182,,rufinox@libero.it,2326186.54618513,4771515.54684144,4,7,4
39,17649,2,054001,ASSISI,ANFIHOUSE di Neri Carlo,Affittacamere,Affittacamere,Via Anfiteatro Romano 3,,06081,PG,3357478813,075813405,,,carloneri57@gmail.com,,,1,2,1
40,17634,2,054001,ASSISI,ANTICA FONTE,Agriturismo,2 spighe,Via Petrata 1,,06081,PG,075816065,3496365463,,www.anticafonteassisi.com,info@anticafonteassisi.com,,,4,10,4
41,16910,2,054001,ASSISI,APPARTAMENTI ELISA di Aldofri Alfredo,Affittacamere,Affittacamere,Via Renaiola 5,,06081,PG,3388102411,,,www.appartamentielisa.com,a.aldofri@alice.it,,,2,12,3
42,18804,2,054001,ASSISI,APPARTAMENTI PIAZZA SANTA CHIARA di Merli Anna,Case e appartamenti per vacanze,Case e appartamenti per vacanze,Piazza Santa Chiara 5,,06081,PG,3389749293,0759276837,,www.appartamentipiazzasantachiara.com,fdbassisi@gmail.com,,,6,22,6
43,8749,2,054001,ASSISI,ARCO DEL VENTO di Pecetta Daniele,Affittacamere,Affittacamere,Via S. Maria delle Rose 1int 3,,06081,PG,075813605,,075813605,www.arcodelvento.com,dpecetta@gmail.com,2325971.27557426,4771487.31750904,5,11,5
44,18396,2,054001,ASSISI,ARETINO CAMERE di Rinaldi Giulia,Affittacamere,Affittacamere,Via Borgo Aretino 31,,06081,PG,3420494303,,,,giuliarinaldi@email.it,,,3,5,4
45,15095,2,054001,ASSISI,ARTE STUDIO GINESTRELLE di Marina Merli,Bed & Breakfast,Bed & Breakfast,Voc. Ginestrelle 11,SANTA MARIA DI LIGNANO,06081,PG,075802336,3388134078,,www.artestudioginestrelle.com,marina.merli@alice.it,2333097.47994,4777327.42742,3,6,2
46,17003,2,054001,ASSISI,AS EASY AS IT SOUNDS di Lombardoni Marco,Bed & Breakfast,Bed & Breakfast,Via Carducci 5/a,SANTA MARIA DEGLI ANGELI,06081,PG,3886545969,0758040727,,,info@aseasy.it,,,2,3,2
47,13754,2,054001,ASSISI,ASSISANA di Roscini Vitali Raffaela,Affittacamere,Affittacamere,Via San Bonaventura 12,,06081,PG,3382823632,,,,raffaelarv@yahoo.it,2326029.62493,4771374.3524,3,6,2
48,18539,2,054001,ASSISI,ASSISI CHARME di Ciceroni Daniela,Bed & Breakfast,Bed & Breakfast,Via Cavour 27,SANTA MARIA DEGLI ANGELI,06081,PG,3666068237,3669792215,,,alessandropica@hotmail.com,,,1,2,1
49,9546,2,054001,ASSISI,ASSISI GARDEN,Country house,Country house,Via San Pietro Campagna 154,,06081,PG,075812328,,0758155300,www.assisigarden.it,info@assisigarden.it,2324761.98439845,4771223.80718551,28,77,29
50,14426,2,054001,ASSISI,ASSISI GLAMOUR COUNTRY,Country house,Country house,Via Santa Margherita Campagna 22,,06081,PG,075812348,3201484065,0757823114,www.assisiglamour.com,info@assisiglamour.com,2326798.39876,4774349.21579,9,27,9
51,16839,2,054001,ASSISI,ASSISI VALLE DEL CHIASCIO di Bornicchia Francesca,Affittacamere,Affittacamere,Via del Ponte 29,PETRIGNANO,06081,PG,0758038701,3319412139,,www.assisivalledelchiascio.it,francesca.b1962@libero.it,,,2,5,1
52,16623,2,054001,ASSISI,ASSISIUM,Agriturismo,1 spiga,Via Tescio 6,SANTA MARIA DEGLI ANGELI,06081,PG,3392432883,0758043305,,www.assisium.com,info@assisium.com,,,11,22,11
53,18299,2,054001,ASSISI,AURORA DELLE ROSE di Gaudenzi Francesco,Affittacamere,Affittacamere,Via San Paolo 14,,06081,PG,3337502598,3343535550,,,auroradellerose@libero.it,,,1,2,1
54,17844,2,054001,ASSISI,AZIENDA AGRARIA PARADISO 44,Agriturismo,3 spighe,Paradiso - Voc.Trittello 44,,06081,PG,0759975740,3315021674,,www.paradiso44.com,info@paradiso44.com,,,4,8,4
55,7220,2,054001,ASSISI,AZIENDA AGRITURISTICA - RESIDENZA OASI BATTIFOGLIA DI ENZO BECCHETTI,Agriturismo,4 spighe,Voc. Battifoglia - Paradiso 33,,06081,PG,075802320,,075802320,www.oasibattifoglia.com,info@oasibattifoglia.com,2326336.49388374,4770941.5552175,6,20,8
56,9834,2,054001,ASSISI,AZIENDA AGRITURISTICA TORDONI DANIELA,Agriturismo,4 spighe,Via del Paduletto ,CAPODACQUA,06081,PG,0758065810,,0758064986,,info@valledelsubasio.it,2326865.23258761,4767384.37472186,15,30,15
57,18181,2,054001,ASSISI,B & B CANTICO DELLE CREATURE di Caporali Giulia,Bed & Breakfast,Bed & Breakfast,Via Cantico delle Creature 5,,06081,PG,075813258,3281897227,,www.canticodellecreature.com,info@canticodellecreature.com,,,3,6,2
58,10993,2,054001,ASSISI,B & B CHIARA di Segantini Chiara,Bed & Breakfast,Bed & Breakfast,Via P. Uber 10,PETRIGNANO,06081,PG,0758039611,3384387238,,,info@bbchiara.it,2318999.18377,4775786.76858,1,2,1
59,17912,2,054001,ASSISI,B & B DA GIULIANA di Tardioli Giancarlo,Bed & Breakfast,Bed & Breakfast,Via Armando Diaz 11,SANTA MARIA DEGLI ANGELI,06081,PG,0758041774,3402513022,,,tardiolig@gmail.com,,,1,2,1
60,17750,2,054001,ASSISI,B & B FONTE FERRO di Romagnoli Andrea,Bed & Breakfast,Bed & Breakfast,Via San Gregorio 5/4,,06081,PG,3385458303,,,www.fonteferro.it,info@fonteferro.it,,,3,8,2
61,7902,2,054001,ASSISI,B & B IL SENTIERO DI ARMENZANO di Calzolari Sara,Bed & Breakfast,Bed & Breakfast,Armenzano 70,ARMENZANO,06081,PG,3471558278,,0758019037,www.ilsentierodiarmenzano.it,info@ilsentierodiarmenzano.it,2332755.04617401,4772791.16647498,3,6,3
62,18261,2,054001,ASSISI,B & B IL SENTIERO DI ASSISI di Segatori Filippo,Bed & Breakfast,Bed & Breakfast,Via delle Acacie 3,VIOLE,06081,PG,3292042059,3389948956,0758065573,,ilsentierodiassisi@gmail.com,,,3,7,3
63,7881,2,054001,ASSISI,B & B IN ASSISI di Bartoloni Marcella,Bed & Breakfast,Bed & Breakfast,Via Cimabue 31,SANTA MARIA DEGLI ANGELI,06081,PG,0758040282,,,www.bbassisi.it,bbassisi@gmail.com,2322437.26042678,4770690.47098308,3,5,2
64,18042,2,054001,ASSISI,B & B IRIS di Pirani Marcello,Bed & Breakfast,Bed & Breakfast,Viale Maratona 61,SANTA MARIA DEGLI ANGELI,06081,PG,3486905617,3351911641,,,cristinalucaroni@alice.it,,,3,6,2
65,17951,2,054001,ASSISI,B & B L'ALLORO di Tacconi Maria Elena,Bed & Breakfast,Bed & Breakfast,Via Protomartiri Francescani 101,SANTA MARIA DEGLI ANGELI,06081,PG,3483881444,0758040007,,,etacconi@hotmail.com,,,2,3,2
66,18757,2,054001,ASSISI,CASA FAUSTINA,Agriturismo,4 spighe,Mora 28,MORA,06081,PG,0758039377,3296198360,,www.casafaustina.it,info@casafaustina.it,,,10,30,10
67,17103,2,054001,ASSISI,B & B LA CAPINERA di Antonini Cristiana,Bed & Breakfast,Bed & Breakfast,Via Onorio III 22,SANTA MARIA DEGLI ANGELI,06081,PG,3357312837,,,www.bblacapineradiassisi.com,lacapinerabb@yahoo.it,,,3,6,3
68,17966,2,054001,ASSISI,B & B LA GIARA di Cannelli Antonella,Bed & Breakfast,Bed & Breakfast,Via Assisana 66,RIVOTORTO,06081,PG,0758065412,3331743990,,,lagiarassisi@libero.it,,,2,4,2
69,18557,2,054001,ASSISI,B & B LA GIOIOSA di Capitani Francesco,Bed & Breakfast,Bed & Breakfast,Via Caminaccio di Mezzo 10,SANTA MARIA DEGLI ANGELI,06081,PG,3911215737,,,,fclagioiosa@outlook.it,,,3,7,2
70,17967,2,054001,ASSISI,B & B LE GIARE di Cannelli Stefano,Bed & Breakfast,Bed & Breakfast,Via Assisana 66,RIVOTORTO,06081,PG,3883670212,3299282864,0758190147,,legiarediassisi@gmail.com,,,2,4,2
71,15280,2,054001,ASSISI,B & B NADIA di Cupkovich Nadia,Bed & Breakfast,Bed & Breakfast,Via San Benedetto 34,,06081,PG,3485115276,075813239,,www.bbnadia.info,info@assisibbnadia.com,2326899.5872,4770422.45074,1,3,1
72,16957,2,054001,ASSISI,B & B RAFFIORI di Scafocchia Raffaella,Bed & Breakfast,Bed & Breakfast,Via Protomartiri Francescani 84,SANTA MARIA DEGLI ANGELI,06081,PG,3494644544,0758041201,0758041201,www.raffiori.com,raffiori@gmail.com,,,3,5,3
73,18326,2,054001,ASSISI,B & B SOGNANDO TE di Biondi Filippo,Bed & Breakfast,Bed & Breakfast,Via San Paolo 30/E,,06081,PG,075813739,3666810498,075813739,www.sognandote.it,info@sognandote.it,,,1,3,1
74,9625,2,054001,ASSISI,B & B SORELLA LUNA di Lista Roberto,Bed & Breakfast,Bed & Breakfast,VIA PATRONO D'ITALIA 3/B,SANTA MARIA DEGLI ANGELI,06081,PG,3394495686,,,,sorellalunassisi@yahoo.com,2323000.18547878,4770216.38297947,2,3,2
75,15276,2,054001,ASSISI,B & B TIZIANA di Carloni Tiziana,Bed & Breakfast,Bed & Breakfast,Viale della Pace 23,RIVOTORTO,06081,PG,0758065114,3491599393,0758065114,www.assisicameretiziana.com,info@assisicameretiziana.com,2326091.86465,4768484.16268,3,6,3
76,18640,2,054001,ASSISI,B & B TORREMATTA BORGO SAN GIOVANNI di Pansini Ferdinando,Bed & Breakfast,Bed & Breakfast,Via della Regola 27,RIVOTORTO,06081,PG,3478571152,3478162925,,,info.torrematta@gmail.com,,,2,4,2
77,18663,2,054001,ASSISI,BASALETTO,Agriturismo,3 spighe,Loc. Basaletto snc,,06081,PG,3296198360,3487908375,,www.basaletto.it,info@basaletto.it,,,5,10,5
78,5047,2,054001,ASSISI,BAZZUCCHI LUIGIA,Affittacamere,Affittacamere,Via S. Bernardino da Siena 61,SANTA MARIA DEGLI ANGELI,06081,PG,0758043411,,0758043411,,giancarlogt4@alice.it,2321994.14707033,4769000.48132445,6,11,6
79,7996,2,054001,ASSISI,BORGO COLDERBA,Agriturismo,3 spighe,Via della Passerella 1,,06081,PG,075816809,3397874812,051300038,www.borgocolderba.com,anthea.boynton@gmail.com,2323836.3440459,4772066.28413864,3,10,3
80,16420,2,054001,ASSISI,BORGO SAN FORTUNATO,Casa per ferie,Casa per ferie,Via San Fortunato 36,,06081,PG,064070789,3335483303,064076279,www.borgosanfortunatoassisi.com,sanfortunato@anvercooperativasociale.com,,,11,36,14
81,9835,2,054001,ASSISI,BORRINI FRANCESCA,Agriturismo,2 spighe,Via di Mezzo 46,RIVOTORTO,06081,PG,3473127784,3931560708,,www.agriturismoborrini.it,info@agriturismoborrini.it,2326753.64223225,4768463.74818122,5,10,5
82,18285,2,054001,ASSISI,BOSCOVECCHIO di Famoso Paola,Bed & Breakfast,Bed & Breakfast,Santa Maria di Lignano 41,SANTA MARIA DI LIGNANO,06081,PG,3345750481,3386039535,,www.boscovecchioassisi.it,boscovecchio2014@libero.it,,,2,3,2
83,5056,2,054001,ASSISI,BRIGOLANTE,Agriturismo,2 spighe,Costa di Trex 31,COSTA DI TREX,06081,PG,075802250,,075802250,www.brigolante.com,info@brigolante.com,2329976.29185,4774137.55448,3,10,3
84,17640,2,054001,ASSISI,BUSTI LUCIO,Affittacamere,Affittacamere,Via Patrono d'Italia 61,SANTA MARIA DEGLI ANGELI,06081,PG,0758040385,3396564712,0758040385,,geom.luciobusti@libero.it,,,1,4,1
85,17986,2,054001,ASSISI,CALENDE DI MAGGIO di Marani Claudia,Affittacamere,Affittacamere,Piaggia San Pietro 7/E,,06081,PG,3284675668,3314479176,0758000506,,calendedimaggio@gmail.com,,,2,6,2
86,18665,2,054001,ASSISI,CAMERE ASSISI CALOCCI di Calocci Vally,Affittacamere,Affittacamere,Via Macelli Vecchi 11,,06081,PG,3351348275,3477027858,,,camereassisicalocci@gmail.com,,,4,8,4
87,18563,2,054001,ASSISI,CAMERE DA ADELINA di Bartolini Adelina,Affittacamere,Affittacamere,Via Raffaello 22,SANTA MARIA DEGLI ANGELI,06081,PG,3358372029,3358565514,0758041276,,marcodus@alice.it,,,1,3,1
88,4917,2,054001,ASSISI,CAMERE DI ANNA MARIA di Sebastiani Anna Maria,Affittacamere,Affittacamere,Via San Potente 2,,06081,PG,075813274,,075813274,www.assisicameredaannamaria.it,info@assisicameredaannamaria.it,2326892.40042,4770052.98369,6,12,6
89,4894,2,054001,ASSISI,CAMERE GAMBACORTA di Gambacorta Marco,Affittacamere,Affittacamere,Via Sermei 9,,06081,PG,075812454,,075813186,,info@ilbongustaio.com,2326034.82995,4771280.66815,6,12,6
90,16479,2,054001,ASSISI,CAMERE IL BORGO di Battisti Franca,Affittacamere,Affittacamere,Via della Regola 33,RIVOTORTO,06081,PG,0758065358,3337219159,,www.ilborgodmd.it,info@ilborgodmd.it,,,3,6,2
91,16892,2,054001,ASSISI,CAMERE L'ANFITEATRO di Fagotti Maria Teresa,Affittacamere,Affittacamere,Via Villamena 16,,06081,PG,3479044149,,,,fufet@libero.it,,,1,1,1
92,17419,2,054001,ASSISI,CAMERE LA BASILICA di Pagliaro Luca,Affittacamere,Affittacamere,Via Patrono d'Italia 17,SANTA MARIA DEGLI ANGELI,06081,PG,3279359465,,,www.camerelabasilica.it,info@camerelabasilica.it,,,4,5,4
93,18821,5,054056,UMBERTIDE,ART HOUSE,Bed & Breakfast,Bed & Breakfast,Loc.Migianella 586,,06019,PG,334-3063754,,,,sarahbradpiece@gmail.com,,,3,6,3
94,9432,2,054001,ASSISI,CAMERE LA MIMOSA di Roscini Vitali Piero,Affittacamere,Affittacamere,Via Fratelli Canonichetti 5,,06081,PG,075812391,,0758198406,www.camerelamimosa.it,info@camerelamimosa.it,2326803.36198656,4770380.04714964,6,9,6
95,18012,2,054001,ASSISI,CAMERE LINDA di Barabani Marta,Affittacamere,Affittacamere,Viale Michelangelo 24,PALAZZO,06081,PG,075 8037122,3394331045,075 8037122,,camerelinda@gmail.com,,,6,12,6
96,14421,2,054001,ASSISI,CAMERE MARTINI di Rosignoli Villelma,Affittacamere,Affittacamere,Via San Gregorio 6,,06081,PG,075813536,,075813536,,cameremartini@libero.it,2325718.07657,4771483.62614,6,10,5
97,14085,2,054001,ASSISI,CAMERE PAOLO di Durastanti Gianpaolo,Affittacamere,Affittacamere,Via Alcide De Gasperi 11,SANTA MARIA DEGLI ANGELI,06081,PG,3284796562,,,,paolo.durastanti@gmail.com,2322770.97125,4770111.0708,5,8,5
98,9627,2,054001,ASSISI,CAMERE SAN MARTINO di Boccolini Maria,Affittacamere,Affittacamere,Via San Martino 16,,06081,PG,075813563,,,,franca.occhirossi@cnaumbria.it,2326029.62493,4771374.3524,3,6,3
99,5068,2,054001,ASSISI,CAMERE SHALOM di Centomini Giovanna,Affittacamere,Affittacamere,Piazza Porziuncola 9,,06081,PG,0758043848,,0758043828,www.hotelfratesole.com,info@hotelfratesole.com,2323045.78599026,4770248.85720545,3,9,3
100,4944,2,054001,ASSISI,CAMPING FONTEMAGGIO,Campeggio,2 stelle,Via Eremo delle Carceri 24,,06081,PG,075813636,075812317,075813749,www.fontemaggio.it,info@fontemaggio.it,2327078.82923,4770870.82219,65,250,21
101,4980,2,054001,ASSISI,CAMPING VILLAGE ASSISI,Campeggio,3 stelle,San Giovanni  in Campiglione 110,,06081,PG,075816816,075813710,0758197540,www.campingassisi.it,info@campingassisi.it,2322447.47999,4772149.55164,95,380,39
102,13418,2,054001,ASSISI,CARFAGNA SANDRO,Country house,Country house,Via Campiglione - Loc. Molinella 1,,06081,PG,075812266,336283939,075812266,www.carfagnasandrocamere.it,info@carfagnasandro.it,2321257.34415,4772124.77393,18,38,18
103,6638,2,054001,ASSISI,CARFAGNA SERGIO,Agriturismo,4 spighe,Via Campiglione 1,,06081,PG,075813742,3452131774,075813742,www.sergiocarfagna.it,info@sergiocarfagna.it,2321257.34415,4772124.77393,7,13,7
104,7485,2,054001,ASSISI,CARLI LANFRANCO,Affittacamere,Affittacamere,Via Porta Perlici 1,,06081,PG,075812490,,,www.camerecarli.it,carliarte@live.it,2326005.88646971,4771477.99789265,6,9,6
105,6730,2,054001,ASSISI,CARLONI GIUSEPPE,Affittacamere,Affittacamere,Via San Rufino d'Arce 5,SANTA MARIA DEGLI ANGELI,06081,PG,0758040755,3394516079,0758040755,www.assisicamerecarloni.com,info@assisicamerecarloni.com,2325886.73088375,4771477.16134084,6,8,6
106,18442,2,054001,ASSISI,CASA DI ALETTA di Sciamanna Ugo,Affittacamere,Affittacamere,Via Fontemaggio 16,,06081,PG,3497149637,3351214461,,,info@casadialetta.it,,,1,2,1
107,18484,2,054001,ASSISI,CASA FRANCESCA,Casa religiosa di ospitalita',Casa religiosa di ospitalita',Via San Pio X 7,SANTA MARIA DEGLI ANGELI,06081,PG,0758043670,,0758049680,,ssmassisi@gmail.com,,,27,60,28
108,18638,2,054001,ASSISI,CASA MADONNA DELLE ROSE,Casa religiosa di ospitalita',Casa religiosa di ospitalita',Via Protomartiri Francescani 19,,06081,PG,0758041106,,,www.fmmitalia.org,fmmrose@libero.it,,,28,57,28
109,18755,2,054001,ASSISI,CASA NONNA JOLE di Dominici Michela,Affittacamere,Affittacamere,Via Fonte Pallotta 21,CAPODACQUA,06081,PG,3393773138,3471752099,,,rinaldodominici@yahoo.it,,,2,2,1
110,4952,2,054001,ASSISI,CASA PAPA GIOVANNI,Casa religiosa di ospitalita',Casa religiosa di ospitalita',Via San Paolo 32,,06081,PG,075812467,,075812338,,casapapagiovanni@yahoo.it,2325609.12180929,4771634.99800456,34,59,34
111,17834,2,054001,ASSISI,CASA PEPPE E MARIA di Petrucci Daria,Affittacamere,Affittacamere,Vicolo Illuminati 18,,06081,PG,3452490570,3382181606,,,daria5marzo@yahoo.it,,,2,6,2
112,18879,2,054001,ASSISI,CASA PEPPE E MARIA di Petrucci Daria,Affittacamere,Affittacamere,Via Madre Terra 17,,06081,PG,3452490570,3382181606,,,daria5marzo@yahoo.it,,,4,6,3
